Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
FlowWorks,http://www.flowworks.com/,"FlowWorks is a web platform for gathering, managing and understanding all forms of environmental monitoring data such as, water, wastewater, rainfall, climate, streamflow, etc. FlowWorks contains a powerful suite of data collection, monitoring, analysis, and reporting tools, enabling you to efficiently manage all your monitoring systems through a single web interface. The FlowWorks platform significantly improves your ability to collect and transform raw data into actionable information. Because FlowWorks consolidates data from any source, you can perform real-time analysis, set alarms and create reports accessible from any web browser. The power of FlowWorks.",Undisclosed,,Water Management,Existing,2010,USA,Mining,TRUE,,,,
Saltworks,http://www.saltworkstech.com/,"Saltworks Technologies treats the toughest waters. We deliver innovative solutions that make clean water, concentrate brine, and achieve zero liquid discharge (ZLD). With plants sold worldwide and repeat orders from major international customers, Saltworks has an established history of designing, building, and operating full-scale water treatment systems. Saltworks is focused on treating water used for industrial purposes, such as mining or fracking. Just this month, the 11-year-old company commissioned a first-of-its-kind plant with new membrane technology for “supercharged” reverse osmosis. ",Seed,"5,400,000",Water Management,Distant,2008,USA,Mining,TRUE,,,,
AquaRobur,https://www.aquarobur.se/#home_anchor,"In most countries, 20-25% of the fresh water produced is lost due to leakages in the pipelines. Aqua Robur Technologies develops a technology, which measures and collects data in order to find leakages and deficient water quality in public water pipelines. The technology brings a new level of autonomy thanks the integrated hydro-based power supply and the wireless, state-of-art LoRa communication functionality. Decentralized measurement is gaining increased recognition in the industry in order to fight leakages and deficient water quality in real time. Aqua Robur's ambition is to boost the mass adoption of sensors in the network. Their self-powered IoT device for monitoring water pipelines uses kinetic energy flowing through the pipe to generate electricity. That helps to connect pipelines in remote areas like the Amazon. ",Seed,"800,000",Water Management,Distant,2015,Sweden,Alternative,TRUE,,,,
EasyHydro,https://easyhydrosolutions.com/,"20-25% Energy Recovery from mines. The mining sector and process industry need vast quantities of electricity with large associated CO2 emissions. At the same time, their internal water networks have locations in which an excessive pressure builds up and therefore needs to be dissipated by means of throttling/control/pressure reducing valves. Instead, small-scale and modular hydropower turbines which can be installed along existing pipe networks. Such turbines can be placed in a bypass of an existing valve, e.g. pressure reducing valves, control valves, tank inflow regulation valves. The turbine can thus transform the dissipated pressure into usable electricity, with power outputs ranging from a few kilowatts up to hundreds of kilowatts. The type of turbine adopted is reliable and widely tested and consists of standard pumps running in reverse as turbines which only cost a fraction of a conventional custom-made hydro turbine.",Seed,,Water Management,Distant,,South Korea,Mining,TRUE,,,,
Sansox,www.sansox.fi,SansOx’s commitment is to develop new solutions and innovative applications for water treatment needs worldwide. We provide new technology and applications for different kinds of water. We have dissolved different gases into water that can be used both industrial and potable water purification. This can also be used in plantation and fish farming in order to exceed biological growth. Our products can also separate impurities from different liquids through flotation and centrifugal separation.,Seed,"140,000",Water Management,Distant,2012,Finland,Mining,TRUE,,,,
Cosmosfenix,cosmosfenix.com,"Separation of fly ash and similar dry powders in 1 to 100 micron ranges. Of the 600 Mt of fly ash produced annually, only 200 Mt are used, mostly unsorted. The remaining 400 Mt are landfilled at large economic and environmental costs. The DPS technology delivers a solution to transform 200 Mt of this landfilled fly ash at least for 50% into valuable concrete fillers that can be marketed profitably. This way Value Ash aims to contribute to a more efficient raw materials sector, by processing landfilled residues into high-value, future-oriented applications.",Seed,,New Cement,Distant,,,Cement,TRUE,,,,
Value Ash Technologies,https://eitrawmaterials.eu/supportedstartups/value-ash-technologies,"Treatment of hazardous fly ashes from incinerators. In Europe, the municipal solid wastes are treated by incineration process which generates millions of tons of fly ashes that are classified as “hazardous” and for this reason must be landfilled. COSMOS Fenix® is a new patented (*) treatment that makes the classification of these ashes as “product” (end of waste) possible and creates an effective alternative to landfill. ",Seed,,New Cement,Distant,,,Cement,TRUE,,,,
Swiim,http://www.swiimsystem.com/home.aspx,"SWIIM uses flow meters and other sensors to gather data that shows farmers just how many gallons of water it really takes to carry out their operations. That leads them to manage water more efficiently. SWIIM System’s patent-pending process allows farmers to help plan, monitor, and verify their crops and water usage. It incorporates farm optimization, water management, the use of instrumentation, and easy-to-use software.",Series B,"10,700,000",Water Management,Emerging,2009,USA,Alternative,TRUE,,,,
Kritsnam Technologies,http://www.kritsnam.in/,"Kritsnam Technologies is a company in the field of IoT with focus on water resource management solutions. Incubated in SIDBI Innovation and Incubation Centre (SIIC) - IIT Kanpur. Recognized by DIPP as an Official Start-up for Make In India initiative. Kritsnam Technologies has developed a system that uses advanced technology — including sensors, machine learning, AI and IoT — to manage water supplies. The system has the potential to help communities secure sustainable water resources for drinking and farming. Their products include compact and low-power ground sensors that can be widely deployed to gather data from the field. Real-time environmental data is then integrated with decision support systems for automation and timely alerts. ",Seed,,Water Management,Emerging,,India,Alternative,TRUE,,,,
Solar Foods,solarfoods.fi,"Finnish food-tech company Solar Foods has launched a protein-powder made from CO2. The captured C02 is transformed into a single-cell protein through a natural fermentation process facilitated by electricity and water. The company powers the fermentation process with renewable energy, creating a carbon-negative product. Solar Foods is currently working with the European Space Agency to release Solein globally by 2021 and provide two million meals a year by 2023. Arable land is not needed, nor is unsustainable volumes of water. One kilogram of Solein requires only 10 litres of water, compared to the 2,500 litres needed to create a kilogram of soy.",Undisclosed,"2,800,000",Carbon Capture,Distant,2017,Finland,Alternative,TRUE,,,,
Mine Water Pre-Treatment,http://www.veoliawatertech.com/markets/mining/pre-treatment/,"KEY VEOLIA TECHNOLOGIES FOR PRE-TREATEMENT OF MINE WATER INCLUDE:
Ground water, surface water, grey water
Seawater desalination
Pipeline supply
Process water treatment",Unfunded,,Water Management,Existing,,India,Mining,TRUE,Veolia,Activity,,
